increment,yielded,method,stress_1,stress_2,stress_3,stress_4,stress_5,stress_6,EQPLAS
1,no,centered_fd,4.0384615385e+01,1.7307692308e+01,1.7307692308e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2,no,centered_fd,8.0769230769e+01,3.4615384615e+01,3.4615384615e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3,no,centered_fd,1.2115384615e+02,5.1923076923e+01,5.1923076923e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4,no,centered_fd,1.6153846154e+02,6.9230769231e+01,6.9230769231e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5,no,centered_fd,2.0192307692e+02,8.6538461538e+01,8.6538461538e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6,no,centered_fd,2.4230769231e+02,1.0384615385e+02,1.0384615385e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7,no,centered_fd,2.8269230769e+02,1.2115384615e+02,1.2115384615e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8,no,centered_fd,3.2307692308e+02,1.3846153846e+02,1.3846153846e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9,no,centered_fd,3.6346153846e+02,1.5576923077e+02,1.5576923077e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10,no,centered_fd,4.0384615385e+02,1.7307692308e+02,1.7307692308e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
11,yes,centered_fd,4.4168869795e+02,1.9165565102e+02,1.9165565102e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6523463318e-05
12,yes,centered_fd,4.6682088566e+02,2.1658955717e+02,2.1658955717e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1566424323e-04
13,yes,centered_fd,4.9195307336e+02,2.4152346332e+02,2.4152346332e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1480502313e-04
14,yes,centered_fd,5.1708526107e+02,2.6645736946e+02,2.6645736946e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1394580304e-04
15,yes,centered_fd,5.4221744878e+02,2.9139127561e+02,2.9139127561e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1308658295e-04
16,yes,centered_fd,5.6734963648e+02,3.1632518176e+02,3.1632518176e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.1222736286e-04
17,yes,centered_fd,5.9248182419e+02,3.4125908790e+02,3.4125908790e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.1136814276e-04
18,yes,centered_fd,6.1761401190e+02,3.6619299405e+02,3.6619299405e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.1050892267e-04
19,yes,centered_fd,6.4274619960e+02,3.9112690020e+02,3.9112690020e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.0964970258e-04
20,yes,centered_fd,6.6787838731e+02,4.1606080635e+02,4.1606080635e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.0879048249e-04
